OBJECTID,Latin_Name,Common_Name,Family_Name,Former_Latin_Name,Plant_Type,Bloom_Time,Flower_Color,Size_at_Maturity,Climate_Appropriate_Plants,Plant_Communities,Suitable_Site_Conditions,Soil_Type,Pruning_Needs,Water_Needs,Habitat_Value,Associated_Wildlife,Stormwater_Benefit,Appropriate_Location,Suggested_for_Green_Connection_Routes,Street_Tree_List,Additional_Characteristices___Notes,PhotoCredit01,Nurseries,PhotoCredit02,PhotoCredit03,PhotoCredit04
162,Lupinus bicolor,Miniature Lupine,Fabaceae,,Annual,Spring,Purple;White,1-3 ft,SF Native ,Coastal scrub;Grassland/prairie,Part shade;Sun,Clay;Loam;Sand,,None,Cover;Nectar,Bees;Butterflies;Hummingbirds,Yes,Backyard;Roof,NA,NA,Plant to the east of sunset.,"© Br. Alfred Brousseau, Saint Mary's College",Oaktown;Native Here;Bay Natives;East Bay Wilds;,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College"
163,Lupinus chamissonis,Silver Dune Lupine,Fabaceae,,Shrub (evergreen),Spring,Indigo,4-6 ft,SF Native,Dunes,Sun,Sand,,None,Nectar;Cover,Butterflies;Hummingbirds,No,Backyard,NA,NA,,©2013 Gary A. Monroe (CC BY-NC 3.0),,©2013 Gary A. Monroe (CC BY-NC 3.0),©2013 Gary A. Monroe (CC BY-NC 3.0),"© Br. Alfred Brousseau, Saint Mary's College"
164,Lupinus variicolor,Varied Lupine,Fabaceae,,Perennial,Spring;Summer,Purple;White,1-3 ft,SF Native ,Coastal scrub;Grassland/prairie,Sun,Loam;Sand,,None,Cover;Nectar,Bees;Butterflies;Hummingbirds,No,Backyard;Roof;Sidewalk,NA,NA,Plant to the east of sunset.,"© Br. Alfred Brousseau, Saint Mary's College",,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College"
165,Lyonothamnus floribundus ssp. Asplenifolius,Catalina Ironwood,Rosaceae,,Tree (evergreen),Spring;Summer,White,> 24 ft,CA Native,,Sun,Clay;Loam,,Low,,,Yes,Sidewalk,NA,2 (B),"Prefers heat, wind protection.","SelecTree. ""Lyonothamnus floribundus subsp. asplenifolius Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Lyonothamnus floribundus subsp. asplenifolius Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Lyonothamnus floribundus subsp. asplenifolius Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Lyonothamnus floribundus subsp. asplenifolius Photo Record."" 1995-2012. Jul 7, 2014."
166,Lythrum californicum,Common loosestrife,Lythraceae,,Perennial,Spring;Summer,Pink,4-6 ft,CA Native,Wetland; Woodland,Part shade;Sun,Loam,,Low,Nectar,Butterflies,No,Backyard,NA,NA,,©2012 Robert Sivinski (CC BY-NC 3.0),,Joe Decruyenaere (CC BY-SA 2.0),©2002 Gary A. Monroe (CC BY-NC 3.0),©2002 Gary A. Monroe (CC BY-NC 3.0)
167,Madia sativa,Common Tarweed,Asteraceae,,Annual,Summer,Yellow,4-6 ft,SF Native ,Chaparral;Coastal scrub;Grassland/prairie,Sun,Clay;Sand,,None,Fruit;Nectar,Bees;Birds;Butterflies,No,Backyard,NA,NA,Attracts Western Meadowlark bird.,©2008 Keir Morse (CC BY-NC-SA 3.0),,©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0)
168,Magnolia  doltsopa,Sweet Michelia,Magnoliaceae,Michelia doltsopa,Tree (evergreen),Spring,White,13-24 ft,Exotic,,Part shade;Sun,,,Low,,,No,Sidewalk,NA,2 (B),"Formerly Michelia doltsopa; uneven performer, grows very slowly, prefers heat, wind protection.","SelecTree. ""Michelia doltsopa Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Michelia doltsopa Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Michelia doltsopa Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Michelia doltsopa Photo Record."" 1995-2012. Jul 7, 2014."
169,Magnolia champaca,Golden Champaca,Magnoliaceae,Michelia champaca,Tree (evergreen),Spring;Summer,Yellow,13-24 ft,Exotic,,Part shade;Sun,,,Low,,,No,Sidewalk,NA,2 (B),"Formerly Michelia champaca; needs wind protection, wide sidewalk, gets powdery mildew and very slow grower.","SelecTree. ""Magnolia champaca Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Magnolia champaca Photo Record."" 1995-2012. Jul 7, 2014.",Mauricio Mercadante (CC BY-NC-SA 2.0),Mauricio Mercadante (CC BY-NC-SA 2.0)
170,Magnolia grandiflora 'Little Gem',Little Gem Magnolia,Magnoliaceae,,Tree (evergreen),Fall;Summer,White,13-24 ft,Exotic,,Sun,,,Low,,Birds;Butterflies,No?,Sidewalk,NA,1 (A),,"SelecTree. ""Magnolia grandiflora 'Little Gem' Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Magnolia grandiflora 'Little Gem' Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Magnolia grandiflora 'Little Gem' Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Magnolia grandiflora 'Little Gem' Photo Record."" 1995-2012. Jul 7, 2014."
171,"Magnolia grandiflora 'Majestic Beauty', 'Samuel Sommer'",Majestic Beauty/Samuel Sommer Southern Magnolia,Magnoliaceae,,Tree (evergreen),,,> 24 ft,Exotic,,,,,Low,,,No?,Sidewalk,NA,1 (A),,"SelecTree. ""Magnolia grandiflora 'Majestic Beauty' Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Magnolia grandiflora 'Samuel Sommer' Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Magnolia grandiflora 'Samuel Sommer' Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Magnolia grandiflora 'Samuel Sommer' Photo Record."" 1995-2012. Jul 7, 2014."
172,Magnolia grandiflora 'Russet',Russet Southern Magnolia,Magnoliaceae,,Tree (evergreen),Summer,White,> 24 ft,Exotic,,Sun,,,Low,,,No?,Sidewalk,NA,2 (B),Needs a large basin.,"SelecTree. ""Magnolia grandiflora 'Russet' Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Magnolia grandiflora 'Russet' Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Magnolia grandiflora 'Russet' Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Magnolia grandiflora 'Russet' Photo Record."" 1995-2012. Jul 7, 2014."
173,Magnolia grandiflora 'St. Mary',St. Mary Magnolia,Magnoliaceae,,Tree (evergreen),Fall;Summer,White,> 24 ft,Exotic,,Sun,,,Low,,Birds;Butterflies,No?,Sidewalk,NA,1 (A),,"SelecTree. ""Magnolia grandiflora 'St. Mary' Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Magnolia grandiflora 'St. Mary' Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Magnolia grandiflora 'St. Mary' Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Magnolia grandiflora 'St. Mary' Photo Record."" 1995-2012. Jul 7, 2014."
174,Mahonia repens,Creeping Mahonia,Berberidaceae,,Shrub (evergreen),Spring;Summer,Yellow,1-3 ft,CA Native,Chaparral;Woodland,Part shade;Sun,Clay;Loam;Sand,,Low,Fruit,Birds;Butterflies,Yes,Backyard;Sidewalk,NA,NA,,Bryant Olsen (CC BY-NC 2.0),,Rick Leche (CC BY-NC-ND 2.0),Matt Lavin (CC BY-SA 2.0),Matt Lavin (CC BY-SA 2.0)
175,Malva assurgentiflora,"Malva Rosa, Island Mallow",Malvaceae,Lavatera assurgentiflora,Shrub (evergreen),Spring;Summer;Winter,Pink,7-12 ft,CA Native,Coastal scrub,Part shade,Clay;Loam;Sand,,Low,Buds/greens,Butterflies;Insects,No,Backyard,NA,NA,Attracts Grey Hairstreak (Strymon melinus) and Painted Lady (Vanessa cardui) butterflies.," © Br. Alfred Brousseau, Saint Mary's College",," © Br. Alfred Brousseau, Saint Mary's College",©2010 Gary A. Monroe (CC BY-NC 3.0),©2010 Gary A. Monroe (CC BY-NC 3.0)
176,Marah fabacea,Wild Cucumber/Manroot,Cucurbitales,,Vine,Spring,White,13-24 ft,SF Native ,Coastal scrub;Dunes;Woodland,Part shade;Sun,Clay;Loam;Sand,,None,Fruit,Birds,Yes,Backyard,14,NA,Attracts Scrub Jays.,"© Br. Alfred Brousseau, Saint Mary's College",Oaktown;Native Here;Mission Blue;Bay Natives;East Bay Wilds;,©2009 Barry Breckling (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0)
177,Marah oregana,Coast Manroot,Cucurbitales,,Vine,Spring,White,13-24 ft,SF Native ,Woodland,Shade;Part Shade,Clay;Loam;Sand,,Low,Fruit,Birds,Yes,Backyard,NA,NA,Only one specimen in SF in John McLaren Park.,"© Br. Alfred Brousseau, Saint Mary's College",,©2007 Zoya Akulova (CC BY-NC 3.0),©2012 Zoya Akulova (CC BY-NC 3.0),©2013 Zoya Akulova (CC BY-NC 3.0)
178,Melaleuca ericifolia,Heath Melaleuca,Myrtaceae,,Tree (evergreen),Spring;Summer,White,> 24 ft,Exotic,,Sun,,,Low,,,No,Sidewalk,NA,2 (B),"Roots poorly, may need staking for many years.","SelecTree. ""Melaleuca ericifolia Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Melaleuca ericifolia Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Melaleuca ericifolia Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Melaleuca ericifolia Photo Record."" 1995-2012. Jul 7, 2014."
179,Melaleuca linariifolia,Flaxleaf Paperbark,Myrtaceae,,Tree (evergreen),Summer,White,> 24 ft,Exotic,,Sun,,,Low,,,No,Sidewalk,NA,1 (A),,"SelecTree. ""Melaleuca linariifolia Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Melaleuca linariifolia Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Melaleuca linariifolia Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Melaleuca linariifolia Photo Record."" 1995-2012. Jul 7, 2014."
180,Melaleuca quinquenervia,Cajeput Tree,Myrtaceae,,Tree (evergreen),Fall;Summer,White,> 24 ft,Exotic,,Sun,Clay;Loam;Sand,,Low,,,Yes,Sidewalk,NA,2 (B),"Grows fast, dense, irregular form, prefers wind protection.","SelecTree. ""Melaleuca quinquenervia Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Melaleuca quinquenervia Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Melaleuca quinquenervia Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Melaleuca quinquenervia Photo Record."" 1995-2012. Jul 7, 2014."
181,Melaleuca styphelioides,Prickly Melaleuca,Myrtaceae,,Tree (evergreen),Spring;Summer,White,> 24 ft,Exotic,,Sun,Clay;Loam;Sand,,Low,,,Yes,Sidewalk,NA,2 (B),"Can root poorly, and prickly leaves.","SelecTree. ""Melaleuca styphelioides Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Melaleuca styphelioides Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Melaleuca styphelioides Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Melaleuca styphelioides Photo Record."" 1995-2012. Jul 7, 2014."
182,Melica californica,California Melic ,Poaceae,,Grass,Summer,Yellow,1-3 ft,SF Native ,Woodland;Grassland/prairie,Part shade;Sun,Clay;Loam,,Low,Fruit,Birds,Yes,Backyard,NA,NA,"Requires moisture in growing season, then wants to be dry after flowering.", ©2011 Barry Breckling (CC BY-NC-SA 3.0),Oaktown;Flora Grubb;Bay Natives;East Bay Wilds;,©2010 Barry Breckling (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0)
183,Melica torreyana,Torrey melic,Poaceae,,Grass,Spring,Purple;Yellow,1-3 ft,SF Native ,Woodland,Part shade;Sun,All,,Low,Cover;Fruit;Nesting,Birds;Butterflies;Insects,No,Backyard;Sidewalk,NA,NA,Best in rocky outcrops.,Belinda Lo (CC BY-NC-SA 2.0),,D In Orbit (CC BY-NC-ND 2.0),©2012 Al Keuter (CC BY-NC-SA 3.0),©2012 Al Keuter (CC BY-NC-SA 3.0)
184,Metrosideros excelsa,New Zealand Christmas tree,Myrtaceae,,Tree (evergreen),Year Round,Red,> 24 ft,Exotic,,Sun,Loam;Sand,,Low,Fruit;Nectar,Bees;Birds;Butterflies;Insects,No,Sidewalk,NA,2 (B),Endures wind well and is a common SF street tree.,"SelecTree. ""Metrosideros excelsa Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Metrosideros excelsa Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Metrosideros excelsa Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Metrosideros excelsa Photo Record."" 1995-2012. Jul 7, 2014."
185,Mimulus aurantiacus,Sticky Monkeyflower,Phrymaceae,,Shrub (evergreen),Spring;Summer,Orange,1-3 ft,SF Native ,Coastal scrub;Woodland;Dunes,Part shade;Sun,All,,None,Buds/greens;Nectar,Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,Backyard;Roof,22,NA,"Plant in dry areas, endures wind well. Attracts Nutall's White-crowned Sparrow, Buckeye (Junonia coenia) and Variable Checkerspot (Euphydras chalcedona) butterflies, and Anna's Hummingbird.","© Br. Alfred Brousseau, Saint Mary's College",Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds,"© Br. Alfred Brousseau, Saint Mary's College",©2007 Steven Thorsted (CC BY-NC 3.0),©2007 Steven Thorsted (CC BY-NC 3.0)
186,Monardella villosa,Coyote Mint,Lamiaceae,,Perennial,Summer,Purple,1-3 ft,SF Native ,Coastal scrub;Woodland;Grassland/prairie,Part shade;Sun,Clay;Loam,,None,Nectar,Bees;Butterflies;Hummingbirds,Yes,Backyard;Roof,12;20,NA,Prefer dry areas. Attracts Western Fence Lizard.,©2009 Vernon Smith (CC BY-NC-ND 3.0),Oaktown;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,©2009 Barry Breckling (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0)
187,Morella californica,"California Wax Myrtle, Pacific Bayberry",Myricaceae,Myrica californica,Shrub (evergreen),Summer,Yellow,13-24 ft,SF Native ,Coastal scrub;Riparian;Woodland;Wetland,Part shade;Sun,Clay;Loam;Sand,,Moderate,Cover;Fruit;Nectar;Nesting,Bees;Birds;Butterflies,Yes,Backyard;Roof,NA,NA,Endures wind well. May grow as a single trunk standard tree.,"© Br. Alfred Brousseau, Saint Mary's College",Oaktown;Native Here;Mission Blue;Flora Grubb;Bay Natives;East Bay Wilds,"© Br. Alfred Brousseau, Saint Mary's College",©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0)
188,Muhlenbergia rigens,Deer Grass,Poaceae,,Grass,Spring,White,1-3 ft,CA Native,Chaparral,Part shade;Sun,Clay;Loam,,Low,Nesting,Bees;Birds;Butterflies,Yes,Backyard;Roof,NA,NA,,William Herron (CC BY-SA 2.0),,Bri Weldon (CC BY 2.0),Anthony Mendoza (CC BY-NC-SA 2.0),Josh S Jackson (CC BY-NC 2.0)
189,Nepeta racemosa,Cat Mint,Lamiaceae,,Perennial,Summer,Purple,< 1 ft,Exotic,,Sun,Clay;Loam;Sand,,Low,Nectar,Bees;Butterflies;Hummingbirds,Yes,Backyard;Sidewalk,NA,NA,,Scott Davies (CC BY-NC 2.0),,"Jim, the photographer (CC BY 2.0)",--Tico-- (CC BY-NC-ND 2.0),beautifulcataya (CC BY-NC-ND 2.0)
190,Oenanthe sarmentosa,"Ditch-carrot, Water Parsley",Apiaceae,,Perennial,Spring;Summer,White,1-3 ft,SF Native ,Riparian;Wetland;Woodland,Part shade;Sun,Clay;Loam,,Moderate,Buds/greens,Insects,No,Backyard,NA,NA,Wet grower.,©2002 Brad Kelley,,©2014 Jean Pawek,©2008 Keir Morse  (CC BY-NC-SA 3.0),©2008 Keir Morse  (CC BY-NC-SA 3.0)
191,Oenothera elata ssp. hookeri,Hooker's Evening Primrose,Onagraceae,,Perennial,Summer,Yellow,4-6 ft,SF Native ,Coastal scrub;Woodland;Dunes;Chaparral,Sun,Loam;Sand;Clay,,None,Nectar,Bees;Birds;Butterflies;Hummingbirds;Insects,No,Backyard;Roof;Sidewalk,12;20,NA,"Resilient, gets weedy, self sows. Attracts Western fence lizard and Goldfinch.",Suzanne Black (CC BY-NC-ND 2.0),,Bryant Olsen (CC BY-NC 2.0),David A. Hofmann (CC BY-NC-ND 2.0),John Rusk (CC BY-NC-SA 2.0)
192,Olea europaea,Olive Tree,Oleaceae,,Tree (evergreen),,,> 24 ft,Exotic,,Sun,,,None,,,No,Sidewalk,NA,2 (B),"Needs a very large basin, prefers wind protection.","SelecTree. ""Olea europaea Photo Record."" 1995-2012. Jul 7, 2014.",,"SelecTree. ""Olea europaea Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Olea europaea Photo Record."" 1995-2012. Jul 7, 2014.","SelecTree. ""Olea europaea Photo Record."" 1995-2012. Jul 7, 2014."
193,Penstemon centranthifolius,Scarlet Bugler,Plantaginaceae,,Perennial,Spring;Summer,Red,1-3 ft,CA Native,Chaparral,Sun,Clay,,Low,Nectar,Bees;Birds;Butterflies;Hummingbirds,No,Backyard,NA,NA,,©2010 Gary A. Monroe (CC BY-NC 3.0),,"© Br. Alfred Brousseau, Saint Mary's College",©2009 Barry Breckling (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0)
194,Penstemon heterophyllus,Penstemon,Plantaginaceae,,Perennial,Summer,Indigo,1-3 ft,CA Native,Chaparral;Woodland,Part shade;Sun,Clay,,Low,Nectar,Bees;Birds;Butterflies;Hummingbirds,Yes,Backyard;Roof;Sidewalk,NA,NA,,©2009 Keir Morse (CC BY-NC-SA 3.0),,©2009 Keir Morse (CC BY-NC-SA 3.0),©2013 Vernon Smith (CC BY-NC-ND 3.0),©2010 Jean Pawek
195,Persicaria amphibia,Water Smartweed,Polygonaceae,,Perennial,Fall;Summer,Pink,1-3 ft,SF Native ,Wetland,Part shade;Sun,Clay;Loam;Sand,,Moderate,No data,Birds,No,Backyard,NA,NA,,©2014 Neal Kramer,,©2011 Barry Breckling (CC BY-NC-SA 3.0),©2010 Vernon Smith (CC BY-NC-ND 3.0),©2014 Neal Kramer
196,Persicaria lapathifolia,Common Knotweed,Polygonaceae,,Annual,Fall;Summer,Pink;White,1-3 ft,SF Native ,Wetland,Part shade;Sun,Clay;Loam,,Moderate,No data,Birds,No,Backyard,NA,NA,,©2012 Jean Pawek,,©2012 Jorg & Mimi Fleige  (CC BY-NC 3.0),©2012 Jean Pawek,Patrick Alexander (CC BY-NC-ND 2.0)
197,Persicaria punctata,Dotted Smartweed,Polygonaceae,,Perennial,Fall;Summer,White,1-3 ft,SF Native ,Wetland,Part shade;Sun,Clay;Loam,,Moderate,No data,Birds,No,Backyard,NA,NA,Wet grower.,©2005 Keir Morse (CC BY-NC-SA 3.0),,©2005 Keir Morse (CC BY-NC-SA 3.0),©2011 Jean Pawek,©2011 Jean Pawek
198,Phacelia californica,California Phacelia,Boraginaceae,,Perennial,Summer,Purple,1-3 ft,SF Native ,Coastal scrub;Chaparral,Sun,Clay;Loam,,None,Buds/greens;Nectar,Bees;Butterflies;Insects,Yes,Backyard;Roof,NA,NA,Attracts endangered Mission Blue butterfly.,©2009 Zoya Akulova (CC BY-NC 3.0),Oaktown;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College"
199,Phacelia malvifolia,Stinging Phacelia,Boraginaceae,,Annual,Spring;Summer,White,1-3 ft,SF Native ,Coastal scrub;Woodland,Part shade;Sun,Loam;Sand;Clay,,None,Nectar,Bees,No,Backyard,NA,NA,,©2010 Jean Pawek,,©2011 Jean Pawek,©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0)
200,Phalaris californica,California Canarygrass,Poaceae,,Grass,Spring,Magenta,1-3 ft,SF Native ,Coastal scrub;Grassland/prairie;Wetland,Part shade;Sun,Clay;Loam,,Low,Buds/greens;Cover;Fruit,Birds;Butterflies,No,Backyard,NA,NA,"Rare in SF, but present on San Bruno mountain. Attracks Woodland Skipper (Ochlodes sylvanoides) butterfly.",©2013 Vernon Smith (CC BY-NC-ND 3.0),,©2009 Zoya Akulova (CC BY-NC 3.0),©2009 Zoya Akulova (CC BY-NC 3.0),©2010 Zoya Akulova (CC BY-NC 3.0)
201,Phoenix canariensis,Canary Island Date Palm,Arecaceae,,Tree (evergreen),NA,,> 24 ft,Exotic,,,,,Low,,,No,Sidewalk,NA,2 (B),Needs a large basin.,"SelecTree. ""Phoenix canariensis Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Phoenix canariensis Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Phoenix canariensis Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Phoenix canariensis Photo Record."" 1995-2012. Jul 8, 2014."
202,Phoenix dactylifera,Date Palm,Arecaceae,,Tree (evergreen),,,> 24 ft,Exotic,,,,,Low,,,No,Sidewalk,NA,2 (B),Needs a large basin and wide sidewalk.,"SelecTree. ""Phoenix dactylifera Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Phoenix dactylifera Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Phoenix dactylifera Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Phoenix dactylifera Photo Record."" 1995-2012. Jul 8, 2014."
203,Pinus contorta var. contorta,Shore Pine,Pinaceae,,Tree (evergreen),Spring,Brown,> 24 ft,CA Native ,Riparian,Sun,Loam,,Moderate,No data,Bees;Butterflies,No,Backyard,2,NA,,"© Br. Alfred Brousseau, Saint Mary's College",,©2012 Vernon Smith (CC BY-NC-ND 3.0),©2012 Vernon Smith (CC BY-NC-ND 3.0),Jason Sturner (CC BY 2.0)
204,Pinus muricata,Bishop Pine,Pinaceae,,Tree (evergreen) ,Spring,Orange,> 24 ft,CA Native ,Woodland,Part shade;Sun,Loam,,Moderate,Buds/greens,Insects,No,Backyard,2,NA,,"© Br. Alfred Brousseau, Saint Mary's College",,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College"
205,Pistacia chinensis 'Keith Davey',Keith Davey Chinese Pistache,Anacardiaceae,,Tree (deciduous),,,> 24 ft,Exotic,,Part shade;Sun,,,Low,,,No,Sidewalk,NA,2 (B),"Prefers heat, wind protection.","SelecTree. ""Pistacia chinensis Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Pistacia chinensis Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Pistacia chinensis Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Pistacia chinensis Photo Record."" 1995-2012. Jul 8, 2014."
206,Pittosporum crassifolium,Seaside Pittosporum,Pittosporaceae,,Tree (evergreen),Spring,Red,13-24 ft,Exotic,,Part shade;Sun,,,NA,,,No,Sidewalk,NA,2 (B),Tolerates wind and fog. Can leak sap from trunk.,"SelecTree. ""Pittosporum crassifolium Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Pittosporum crassifolium Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Pittosporum crassifolium Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Pittosporum crassifolium Photo Record."" 1995-2012. Jul 8, 2014."
207,Pittosporum undulatum,Victorian Box,Pittosporaceae,,Tree (evergreen),Spring;Summer,White,> 24 ft,Exotic,,Part shade;Sun,,,NA,,,No,Sidewalk,NA,1 (A),"Can self-sow, take care when planting near natural areas.","SelecTree. ""Pittosporum undulatum Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Pittosporum undulatum Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Pittosporum undulatum Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Pittosporum undulatum Photo Record."" 1995-2012. Jul 8, 2014."
208,Plantago elongata,Coastal Plantain,Plantaginaceae,,Annual,Spring,Green,< 1 ft,SF Native ,Riparian;Wetland,Part shade;Sun,Clay;Loam,,Moderate,Buds/greens,Butterflies,No,Backyard,NA,NA,Attracts Common Buckeye (Junonia coenia) butterfly., ©2010 Gary A. Monroe (CC BY-NC 3.0),, ©2010 Gary A. Monroe (CC BY-NC 3.0), ©2010 Gary A. Monroe (CC BY-NC 3.0),Matt Lavin (CC BY-SA 2.0)
209,Plantago maritima,Seaside plantain,Plantaginaceae,,Perennial,Spring;Summer,Brown,< 1 ft,SF Native ,Coastal scrub;Wetland;Dunes,Part shade;Sun,Clay;Loam;Sand,,Low,Buds/greens,Butterflies;Insects,No,Backyard,NA,NA,Succulent that grows on cliff faces and likes salt wind. Attracts Common Buckeye (Junonia coenia) butterfly.,"© Br. Alfred Brousseau, Saint Mary's College",,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College"
210,"Platanus x acerifolia 'Bloodgood', 'Columbia', 'Yarwood'",London Plane Tree,Platanaceae,,Tree (deciduous),,,> 24 ft,Exotic,,,,,Low,,,No,Sidewalk,NA,1 (A),"Prefers wind protection, Susceptible to anthracnose and powdery mildew.","SelecTree. ""Platanus _ hispanica Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Platanus _ hispanica Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Platanus _ hispanica Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Platanus _ hispanica Photo Record."" 1995-2012. Jul 8, 2014."
211,Pluchea odorata,Salt marsh fleabane,Asteraceae,,Perennial,Fall;Summer,Purple,1-3 ft,CA Native,Wetland,Part shade;Sun,Clay;Loam;Sand,,Moderate,Buds/greens;Nectar,Bees;Butterflies;Insects,No,Backyard,NA,NA,,©2013 Keir Morse (CC BY-NC-SA 3.0) ,,©2013 Keir Morse (CC BY-NC-SA 3.0),©2013 Keir Morse (CC BY-NC-SA 3.0),©2013 Keir Morse (CC BY-NC-SA 3.0)
212,Podocarpus gracilior,Fern Pine,Podocarpaceae,,Tree (evergreen),,,> 24 ft,Exotic,,,,,NA,,,No,Sidewalk,NA,2 (B),"Better as a shrub, gets pests.","SelecTree. ""Afrocarpus falcatus Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Afrocarpus falcatus Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Afrocarpus falcatus Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Afrocarpus falcatus Photo Record."" 1995-2012. Jul 8, 2014."
